,category,name,period,apply,benefit,link,update
1,창업,2022년 2기 이노스트 챌린지 그라운드 모집 공고(그린스타트업타운 액셀러레이팅 프로그램),2022-12-26 ~ 2023-01-16,GST 특화분야 업력 7년 이내 창업기업,"인큐베이팅, 액셀러레이팅, IR 피칭 교육 등 지원",https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000082646,2022-12-27
2,창업,2023년 청년후계농(청년창업형 후계농) 선발 및 영농정착 지원사업 시행 지침,2022-12-26 ~ 2023-01-27,"독립경영 3년 이하, 만 18세 이상 ～ 만 40세 미만의 후계농업경영인","영농정착지원금(독립경영 1년차 월 110만원, 2년차 월 100만원, 3년차 월 90만원) 지급",https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000082617,2022-12-27
3,창업,[경남] 김해시 청년창업 허그(HuG) 사업 참여기업 모집 공고(청년 이주정착 지원사업),2023-01-02 ~ 2023-01-20,"김해시 소재 창업 3년 이하의 청년 초기창업자 ※ 단, 대표자가 김해에 거주하나 사업장이 타지역인 경우, 김해로 이전시 신청가능","김해시장상, 진흥원 및 협력기관상 시상, 사업화 자금 및 공간 임대료 등 지원",https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000082632,2022-12-27
4,창업,[울산] U-SPACE 창업기업 사업화 지원사업 수요기업 4차 모집 공고(메이커 스페이스 구축ㆍ운영사업),2022-12-27 ~ 2023-01-09,울산 지역 내 제조 관련 전 산업 분야 (예비)창업자 및 창업 7년 이내 스타트업ㆍ중소기업,"제품화, 소프트 목업(외형제작), SNS 마케팅 지원",https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000082628,2022-12-26
5,창업,2022년 청년창업 지역정착 지원사업 참여자 3차 추가모집 공고,2022-12-26 ~ 2023-01-16,경상북도 외에 주소를 둔 만 19세 이상 만 39세 이하의 청년,"사업화자금, 교육 및 멘토링, 판로지원 및 사후관리 등 지원",https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000082610,2022-12-26
6,창업,[부산] 2023년 BIGS 창업기업 지원사업 모집 공고,2022-12-23 ~ 2023-01-17,부산 소재(본사) 업력 7년 미만의 성장가능성 우수 창업기업,"창업공간, 사업고도화 프로그램, 시제품 제작 및 마케팅 지원",https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000082622,2022-12-26
7,창업,[경기] 수원대학교 메이커스페이스 WoW! IR데모데이 지원사업 참가기업 모집 공고,2022-12-22 ~ 2022-12-30,경기도내 업력 7년 미만의 제조분야 기업,"IR 컨설팅 및 피치덱 제작, IR 데모데이 등 지원",https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000082592,2022-12-23
8,창업,2023년 공공기술 창업사업화 지원사업 주관기관 모집 공고,2022-12-22 ~ 2023-01-11,"기술이전ㆍ창업기업 지원역량을 보유한 대학, 공공기관, 민관기관(단체) 등","창업프로그램 운영비, 전담조직 운영비 지원※ 본 모집공고는 예비창업자를 지원할 주관기관을 모집하는 공고문이며, 예비창업자에 대한 모집공고는 추후 공고 예정입니다.",https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000082571,2022-12-23
9,창업,2023년 생애최초 청년창업 지원사업 주관기관 모집 공고,2022-12-22 ~ 2023-01-11,"청년 예비창업자를 지원할 인적ㆍ물적 역량 및 인프라를 보유한 공공 및 민간기관, 대학 등","창업프로그램 운영비, 전담조직 운영비 지원※ 본 모집공고는 예비창업자를 지원할 주관기관을 모집하는 공고문이며, 예비창업자에 대한 모집공고는 추후 공고 예정입니다.",https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000082591,2022-12-23
10,창업,[경기] 수원시 청년 혁신점포사업 예비 창업자 모집 재공고,2022-12-19 ~ 2022-12-28,수원시 거주 중인 만18세 이상 ~ 만39세 이하의 예비창업자,수원 남문 로데오시장 내 점포 지원,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000082585,2022-12-22
